date,open,close,high,low,volume,code
2010-10-08,2.247,2.268,2.274,2.234,413644.0,601988
2010-10-11,2.268,2.294,2.315,2.254,650640.0,601988
2010-10-12,2.281,2.294,2.301,2.261,504638.0,601988
2010-10-13,2.288,2.315,2.315,2.274,466597.0,601988
2010-10-14,2.315,2.348,2.375,2.315,1179713.0,601988
2010-10-15,2.335,2.449,2.449,2.328,1802745.0,601988
2010-10-18,2.469,2.429,2.536,2.429,2035554.0,601988
2010-10-19,2.429,2.429,2.429,2.382,1085832.0,601988
2010-10-20,2.415,2.422,2.462,2.395,1065354.0,601988
2010-10-21,2.415,2.382,2.422,2.368,608935.0,601988
2010-10-22,2.375,2.348,2.395,2.335,522317.0,601988
2010-10-25,2.355,2.388,2.395,2.335,654221.0,601988
2010-10-26,2.388,2.355,2.402,2.341,547359.0,601988
2010-10-27,2.355,2.361,2.388,2.348,418938.0,601988
2010-10-28,2.368,2.382,2.382,2.355,443499.0,601988
2010-10-29,2.388,2.382,2.395,2.361,520284.0,601988
2010-11-01,2.382,2.422,2.422,2.375,774550.0,601988
2010-11-02,2.422,2.415,2.435,2.395,814051.0,601988
2010-11-11,2.429,2.422,2.457,2.395,1024654.0,601988
2010-11-12,2.415,2.339,2.415,2.332,751066.0,601988
2010-11-15,2.346,2.381,2.395,2.298,648516.0,601988
2010-11-16,2.367,2.298,2.374,2.284,573162.0,601988
2010-11-17,2.284,2.298,2.318,2.27,359174.0,601988
2010-11-18,2.298,2.305,2.318,2.284,318316.0,601988
2010-11-19,2.305,2.298,2.305,2.242,607085.0,601988
2010-11-22,2.27,2.27,2.284,2.249,496867.0,601988
2010-11-23,2.263,2.27,2.277,2.228,459955.0,601988
2010-11-24,2.256,2.277,2.305,2.256,465102.0,601988
2010-11-25,2.284,2.298,2.325,2.256,545136.0,601988
2010-11-26,2.298,2.298,2.311,2.284,403575.0,601988
2010-11-29,2.298,2.291,2.311,2.277,238178.0,601988
2010-11-30,2.291,2.263,2.298,2.249,467356.0,601988
2010-12-01,2.263,2.27,2.291,2.249,202087.0,601988
2010-12-02,2.291,2.298,2.305,2.277,268778.0,601988
2010-12-03,2.291,2.284,2.298,2.27,262226.0,601988
2010-12-06,2.284,2.284,2.305,2.277,241808.0,601988
2010-12-07,2.284,2.284,2.291,2.256,245325.0,601988
2010-12-08,2.284,2.263,2.291,2.263,181748.0,601988
2010-12-09,2.27,2.263,2.284,2.256,250837.0,601988
2010-12-10,2.256,2.263,2.277,2.249,251136.0,601988
2010-12-13,2.263,2.291,2.298,2.263,338077.0,601988
2010-12-14,2.298,2.298,2.305,2.284,309444.0,601988
2010-12-15,2.298,2.284,2.305,2.277,312300.0,601988
2010-12-16,2.284,2.27,2.291,2.263,205108.0,601988
2010-12-17,2.277,2.263,2.277,2.256,169611.0,601988
2010-12-20,2.27,2.249,2.284,2.235,316960.0,601988
2010-12-21,2.249,2.263,2.284,2.228,392728.0,601988
2010-12-22,2.27,2.249,2.277,2.242,272100.0,601988
2010-12-23,2.249,2.249,2.277,2.235,307111.0,601988
2010-12-24,2.242,2.242,2.27,2.235,238598.0,601988
2010-12-27,2.256,2.235,2.27,2.235,406462.0,601988
2010-12-28,2.235,2.222,2.249,2.222,309016.0,601988
2010-12-29,2.222,2.228,2.235,2.215,216580.0,601988
2010-12-30,2.228,2.228,2.242,2.201,329093.0,601988
2010-12-31,2.228,2.235,2.242,2.208,343408.0,601988
2011-01-04,2.249,2.256,2.263,2.222,469782.0,601988
2011-01-05,2.249,2.235,2.249,2.228,335950.0,601988
2011-01-06,2.235,2.228,2.242,2.215,238222.0,601988
2011-01-07,2.228,2.263,2.291,2.222,757343.0,601988
2011-01-10,2.249,2.235,2.263,2.228,350350.0,601988
2011-01-11,2.228,2.249,2.256,2.228,230288.0,601988
2011-01-12,2.256,2.263,2.263,2.242,246761.0,601988
2011-01-13,2.263,2.27,2.277,2.256,315358.0,601988
2011-01-14,2.27,2.249,2.27,2.242,258810.0,601988
2011-01-17,2.235,2.215,2.249,2.201,401288.0,601988
2011-01-18,2.208,2.222,2.222,2.201,234921.0,601988
2011-01-19,2.222,2.222,2.222,2.187,420423.0,601988
2011-01-20,2.215,2.194,2.215,2.18,350363.0,601988
2011-01-21,2.194,2.222,2.242,2.18,435769.0,601988
2011-01-24,2.215,2.215,2.228,2.208,306617.0,601988
2011-01-25,2.215,2.235,2.249,2.208,395763.0,601988
2011-01-26,2.235,2.242,2.242,2.222,193737.0,601988
2011-01-27,2.235,2.249,2.249,2.215,282241.0,601988
2011-01-31,2.235,2.242,2.249,2.215,383148.0,601988
2011-02-01,2.242,2.242,2.249,2.228,234453.0,601988
2011-02-09,2.228,2.228,2.242,2.222,198989.0,601988
2011-02-10,2.228,2.242,2.242,2.222,175918.0,601988
2011-02-11,2.242,2.242,2.242,2.222,379182.0,601988
2011-02-14,2.242,2.277,2.284,2.235,704139.0,601988
2011-02-15,2.277,2.27,2.284,2.263,500733.0,601988
2011-02-16,2.27,2.277,2.277,2.256,224875.0,601988
2011-02-17,2.277,2.277,2.284,2.27,285877.0,601988
2011-02-18,2.277,2.27,2.277,2.256,233720.0,601988
2011-02-21,2.256,2.263,2.27,2.249,234882.0,601988
