日期,收盘价,涨跌幅,换手率,资金流入（万元）,资金流出（万元）,净流入（万元）,主力流入（万元）,主力流出（万元）,主力净流入（万元）
2013-02-28,175.00,-1.00%,0.55%,44615,49964,-5349,30769,37809,-7039
2013-03-01,173.82,-0.67%,0.37%,29733,33189,-3456,18528,21380,-2852
2013-03-04,174.72,0.52%,0.50%,48548,38812,9736,34253,27621,6632
2013-03-05,175.00,0.16%,0.36%,30201,31060,-859,19138,19347,-209
2013-03-06,177.22,1.27%,0.47%,45600,36629,8971,31914,25626,6288
2013-03-07,183.86,3.75%,0.82%,70230,68312,1918,58711,53261,5451
2013-03-08,184.13,0.15%,0.35%,28834,34302,-5468,18887,23965,-5078
2013-03-11,185.20,0.58%,0.34%,32132,30074,2058,23931,20104,3827
2013-03-12,182.18,-1.63%,0.24%,18437,26818,-8381,9245,16390,-7145
2013-03-13,183.83,0.91%,0.30%,23329,30176,-6847,14651,19302,-4651
2013-03-14,178.94,-2.66%,0.34%,21459,39303,-17844,13165,28659,-15494
2013-03-15,176.97,-1.10%,0.35%,33355,27364,5991,23120,15181,7939
2013-03-18,169.45,-4.25%,0.75%,56903,67606,-10702,43507,55757,-12250
2013-03-19,165.18,-2.52%,0.61%,49917,49879,38,33942,37905,-3963
2013-03-20,169.91,2.86%,0.69%,66908,48122,18786,55513,35147,20366
2013-03-21,166.78,-1.84%,0.63%,52481,52556,-74,36618,41326,-4708
2013-03-22,169.05,1.36%,0.44%,36329,38248,-1920,27237,26692,545
2013-03-25,169.03,-0.01%,0.31%,23904,28824,-4920,15937,19297,-3360
2013-03-26,169.88,0.50%,0.31%,26261,27019,-758,17902,16961,941
2013-03-27,166.79,-1.82%,0.46%,34807,42791,-7984,23652,32548,-8896
2013-03-28,166.82,0.02%,0.40%,33942,29951,3991,21878,18908,2970
2013-03-29,168.86,1.22%,0.46%,38487,38651,-164,27195,28560,-1365
2013-04-01,164.95,-2.32%,0.28%,19651,25724,-6073,11048,14756,-3708
2013-04-02,163.71,-0.75%,0.31%,22193,29959,-7766,12727,21894,-9166
2013-04-03,163.85,0.09%,0.21%,18738,15940,2797,9860,8805,1055
2013-04-08,164.32,0.29%,0.36%,28678,29640,-961,18783,17345,1437
2013-04-09,163.60,-0.44%,0.23%,16381,21194,-4813,9266,11852,-2586
2013-04-10,169.96,3.89%,0.68%,61266,54399,6867,51872,42364,9508
2013-04-11,168.92,-0.61%,0.29%,20840,28308,-7468,12997,15631,-2634
2013-04-12,172.23,1.96%,0.58%,49443,48474,969,38871,33945,4926
2013-04-15,172.74,0.30%,0.27%,22010,24766,-2756,13092,13466,-374
2013-04-16,173.16,0.24%,0.38%,33761,31497,2264,24381,21752,2629
2013-04-17,178.49,3.08%,0.41%,37678,34461,3217,26891,21253,5639
2013-04-18,179.15,0.37%,0.40%,38023,33065,4957,26710,21010,5700
2013-04-19,179.23,0.04%,0.38%,34078,32646,1432,21881,20994,887
2013-04-22,173.71,-3.08%,0.41%,35333,36715,-1382,24795,25829,-1033
2013-04-23,171.81,-1.09%,0.30%,24198,27755,-3557,15496,18394,-2898
2013-04-24,174.87,1.78%,0.29%,28190,22615,5575,18834,13915,4920
2013-04-25,176.70,1.05%,0.24%,26512,16854,9658,16148,8138,8010
2013-04-26,173.99,-1.53%,0.16%,12259,15345,-3086,5132,7621,-2489
2013-05-02,171.11,-1.66%,0.28%,16434,30625,-14191,10063,21006,-10943
2013-05-03,172.45,0.78%,0.21%,17886,18104,-218,11308,9868,1440
2013-05-06,177.80,3.10%,0.29%,28649,22509,6141,20177,14276,5901
2013-05-07,187.69,5.56%,0.68%,69404,54124,15280,58631,41254,17376
2013-05-08,188.89,0.64%,0.41%,40444,34355,6089,28141,23262,4879
2013-05-09,197.18,4.39%,0.68%,70131,58077,12054,57949,45494,12455
2013-05-10,197.11,-0.04%,0.47%,47467,45262,2205,37391,32262,5129
2013-05-13,197.68,0.29%,0.31%,26788,35202,-8415,18842,23270,-4428
